Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.779999,160.729996,158.330002,160.619995,158.205765,22622100
2020-01-03,158.320007,159.949997,158.059998,158.619995,156.235825,21116200
2020-01-06,157.080002,159.100006,156.509995,159.029999,156.639694,20813700
2020-01-07,159.320007,159.669998,157.320007,157.580002,155.211456,21634100
2020-01-08,158.929993,160.800003,157.949997,160.089996,157.683731,27746500
2020-01-09,161.839996,162.220001,161.029999,162.089996,159.653641,21385000
2020-01-10,162.820007,163.220001,161.179993,161.339996,158.914932,20725900
2020-01-13,161.759995,163.309998,161.259995,163.279999,160.825775,21626500
2020-01-14,163.389999,163.600006,161.720001,162.130005,159.693054,23477400
2020-01-15,162.619995,163.940002,162.570007,163.179993,160.727264,21417900
2020-01-16,164.350006,166.240005,164.029999,166.169998,163.672348,23865400
2020-01-17,167.419998,167.470001,165.429993,167.100006,164.588379,34371700
2020-01-21,166.679993,168.190002,166.429993,166.500000,163.997375,29517200
2020-01-22,167.399994,167.490005,165.679993,165.699997,163.209412,24138800
2020-01-23,166.190002,166.800003,165.270004,166.720001,164.214081,19680800
2020-01-24,167.509995,167.529999,164.449997,165.039993,162.559326,24918100
2020-01-27,161.149994,163.380005,160.199997,162.279999,159.840805,32078100
2020-01-28,163.779999,165.759995,163.070007,165.460007,162.973038,24899900
2020-01-29,167.839996,168.750000,165.690002,168.039993,165.514221,34754500
2020-01-30,174.050003,174.050003,170.789993,172.779999,170.182999,51597500
2020-01-31,172.210007,172.399994,169.580002,170.229996,167.671310,36142700
2020-02-03,170.429993,174.500000,170.399994,174.380005,171.758942,30107000
2020-02-04,177.139999,180.639999,176.309998,180.119995,177.412659,36433300
2020-02-05,184.029999,184.199997,178.410004,179.899994,177.195969,39186300
2020-02-06,180.970001,183.820007,180.059998,183.630005,180.869888,27751400
2020-02-07,182.850006,185.630005,182.479996,183.889999,181.126007,33529100
2020-02-10,183.580002,188.839996,183.250000,188.699997,185.863693,35844300
2020-02-11,190.649994,190.699997,183.500000,184.440002,181.667740,53159900
2020-02-12,185.580002,185.850006,181.850006,184.710007,181.933685,47062900
2020-02-13,183.080002,186.229996,182.869995,183.710007,180.948715,35295800
2020-02-14,183.250000,185.410004,182.649994,185.350006,182.564056,23149500
2020-02-18,185.610001,187.699997,185.500000,187.229996,184.415817,27792200
2020-02-19,188.059998,188.179993,186.470001,187.279999,184.968872,29997500
2020-02-20,186.949997,187.250000,181.100006,184.419998,182.144180,36862400
2020-02-21,183.169998,183.500000,177.250000,178.589996,176.386124,48572600
2020-02-24,167.770004,174.550003,163.229996,170.889999,168.781143,68311100
2020-02-25,174.199997,174.839996,167.649994,168.070007,165.995956,68073300
2020-02-26,169.710007,173.259995,168.210007,170.169998,168.070023,56206100
